id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.lat,location.lng,location.postalCode,location.state,name,location.point,ntaname
49d006ccf964a520f85a1fe3,2725 86th St,US,Brooklyn,United States,at W 10th St,3596,"['2725 86th St (at W 10th St)', 'Brooklyn, NY 11223', 'United States']",40.59457745537681,-73.98145848172373,11223.0,NY,L&B Spumoni Gardens,POINT (-73.98145848172373 40.59457745537681),Bensonhurst East
40be6a00f964a520c4001fe3,1424 Avenue J,US,Brooklyn,United States,at E 15th St,611,"['1424 Avenue J (at E 15th St)', 'Brooklyn, NY 11230', 'United States']",40.625134711225336,-73.96147853933067,11230.0,NY,Di Fara Pizza,POINT (-73.96147853933067 40.62513471122534),Midwood
563580bd498e59191f37606e,705 Flatbush Ave,US,Brooklyn,United States,Parkside And Winthrop,3904,"['705 Flatbush Ave (Parkside And Winthrop)', 'Brooklyn, NY 11225', 'United States']",40.65591812487629,-73.95992828481089,11225.0,NY,Parkside,POINT (-73.95992828481089 40.65591812487629),Prospect Lefferts Gardens-Wingate
4b64e55af964a52031d82ae3,601 Rogers Ave,US,Brooklyn,United States,Winthrop St.,4036,"['601 Rogers Ave (Winthrop St.)', 'Brooklyn, NY 11225', 'United States']",40.657062601044785,-73.95291108629641,11225.0,NY,Papa John's Pizza,POINT (-73.95291108629641 40.65706260104479),Prospect Lefferts Gardens-Wingate
4baec97df964a520fed73be3,1324 Avenue J,US,Brooklyn,United States,at E 14th St,654,"['1324 Avenue J (at E 14th St)', 'Brooklyn, NY 11230', 'United States']",40.62505248036124,-73.96234178915628,11230.0,NY,Pizza Time,POINT (-73.96234178915628 40.62505248036124),Midwood
52b90597498ed57b85609429,1022 Cortelyou Rd,US,Brooklyn,United States,at Stratford Rd,2274,"['1022 Cortelyou Rd (at Stratford Rd)', 'Brooklyn, NY 11218', 'United States']",40.639503167598576,-73.9680142223149,11218.0,NY,Lea,POINT (-73.96801422231491 40.63950316759858),Flatbush
4a5912a4f964a5209ab81fe3,1688 E 16th St,US,Brooklyn,United States,Btw Kings Highway & Quentin Rd,1379,"['1688 E 16th St (Btw Kings Highway & Quentin Rd)', 'Brooklyn, NY 11229', 'United States']",40.60853874907321,-73.9572677006831,11229.0,NY,King's Pizza,POINT (-73.9572677006831 40.60853874907321),Madison
4e7d174cb6340a4da75a2cca,1235 Prospect Ave,US,Brooklyn,United States,at Reeve Pl.,3909,"['1235 Prospect Ave (at Reeve Pl.)', 'Brooklyn, NY 11218', 'United States']",40.652872710523795,-73.97605651846554,11218.0,NY,Le Paddock,POINT (-73.97605651846554 40.65287271052379),Windsor Terrace
4ba7da81f964a5200fb939e3,2117 Cortelyou Rd,US,Brooklyn,United States,,2579,"['2117 Cortelyou Rd', 'Brooklyn, NY 11226', 'United States']",40.64406822276088,-73.95820156423143,11226.0,NY,Angelo's Pizza,POINT (-73.95820156423143 40.64406822276088),Flatbush
5074523d45b0e4539638b474,905 Church Ave,US,Brooklyn,United States,btwn Coney Island Ave & Stratford Rd.,3085,"['905 Church Ave (btwn Coney Island Ave & Stratford Rd.)', 'Brooklyn, NY 11218', 'United States']",40.64660959576445,-73.97056370973587,11218.0,NY,Wheated,POINT (-73.97056370973587 40.64660959576445),Flatbush
4b5b3c86f964a52046ed28e3,1408 Cortelyou Rd,US,Brooklyn,United States,Rugby Rd,2333,"['1408 Cortelyou Rd (Rugby Rd)', 'Brooklyn, NY 11226', 'United States']",40.640953133255074,-73.96499112808877,11226.0,NY,San Remo Pizzeria,POINT (-73.96499112808877 40.64095313325507),Flatbush
4baa49f2f964a520785b3ae3,6514 18th Ave,US,Brooklyn,United States,,2879,"['6514 18th Ave', 'Brooklyn, NY 11204', 'United States']",40.618882,-73.990799,11204.0,NY,DaVinci's Pizzeria,POINT (-73.990799 40.618882),Bensonhurst West
4d3c5e8f457cb60c57f9eea4,1668 Sheepshead Bay Rd,US,Brooklyn,United States,,3887,"['1668 Sheepshead Bay Rd', 'Brooklyn, NY 11235', 'United States']",40.58618428867335,-73.95215181125302,11235.0,NY,Delmar Pizzeria,POINT (-73.95215181125302 40.58618428867335),Sheepshead Bay-Gerritsen Beach-Manhattan Beach
4b9543f7f964a520e99834e3,14 Newkirk Plz,US,Brooklyn,United States,Foster Ave.,1634,"['14 Newkirk Plz (Foster Ave.)', 'Brooklyn, NY 11226', 'United States']",40.634920930491674,-73.96266286813963,11226.0,NY,LoDuca Pizza,POINT (-73.96266286813963 40.63492093049167),Flatbush
4b193722f964a52056d923e3,6610 Avenue U,US,Brooklyn,United States,at 66th St.,3994,"['6610 Avenue U (at 66th St.)', 'Brooklyn, NY 11234', 'United States']",40.616867412790334,-73.90985844032727,11234.0,NY,La Villa Pizzeria,POINT (-73.90985844032727 40.61686741279033),Georgetown-Marine Park-Bergen Beach-Mill Basin
4aebaa02f964a5203cc421e3,6316 18th Ave,US,Brooklyn,United States,63rd St.,2766,"['6316 18th Ave (63rd St.)', 'Brooklyn, NY 11204', 'United States']",40.619841119118966,-73.98953923796894,11204.0,NY,J & V Pizzeria,POINT (-73.98953923796894 40.61984111911897),Bensonhurst West
4d8cab34fe8d41bd573bd705,1915 Nostrand Ave,US,Brooklyn,United States,btwn Newkirk & Foster Ave,2143,"['1915 Nostrand Ave (btwn Newkirk & Foster Ave)', 'Brooklyn, NY 11226', 'United States']",40.638982332331864,-73.94801244171617,11226.0,NY,Papa John's Pizza,POINT (-73.94801244171617 40.63898233233186),East Flatbush-Farragut
5a2def8565cdf86a4dc14983,599 Flatbush Ave,US,Brooklyn,United States,,4215,"['599 Flatbush Ave', 'Brooklyn, NY 11225', 'United States']",40.65869656919693,-73.96030858987245,11225.0,NY,Prospect Pizza,POINT (-73.96030858987245 40.65869656919693),Prospect Lefferts Gardens-Wingate
